t	x	y	theta	v	omega	v	omega
5.757	1.85572	1.79183	0.762103	0.499881	0.183134	0.5	0.0974624
5.777	1.86366	1.79944	0.766129	0.50008	0.182971	0.5	0.0974624
5.8	1.87086	1.80638	0.769796	0.499945	0.183424	0.5	0.0974624
5.821	1.87838	1.8137	0.773038	0.49993	0.147524	0.5	0.0974624
5.84	1.88553	1.8207	0.776027	0.500091	0.149797	0.5	0.0974624
5.861	1.89266	1.82771	0.779074	0.499988	0.152787	0.5	0.0974624
5.882	1.90012	1.8351	0.782256	0.499926	0.151353	0.5	0.0974624
5.9	1.9072	1.84216	0.78528	0.50007	0.151154	0.5	0.0974624
5.922	1.91426	1.84924	0.788303	0.500112	0.151151	0.5	0.0974624
5.942	1.92165	1.8567	0.791485	0.499909	0.151548	0.5	0.0974624
5.963	1.92867	1.86382	0.794507	0.500055	0.151104	0.5	0.0974624
5.982	1.93567	1.87097	0.797528	0.500099	0.151057	0.5	0.0227617
6.004	1.94299	1.87849	0.800712	0.499895	0.151646	0.5	0.0227617
6.024	1.95029	1.88604	0.802786	0.500074	0.0760631	0.5	0.0227617
6.045	1.95724	1.89323	0.804318	0.500057	0.0871201	0.5	0.0227617
6.065	1.96451	1.9008	0.806144	0.499937	0.0852211	0.5	0.0227617
6.086	1.97143	1.90803	0.807847	0.500094	0.0844465	0.5	0.0227617
6.106	1.97833	1.91526	0.809538	0.50001	0.0855738	0.5	0.0227617
6.126	1.98557	1.92287	0.811334	0.499937	0.0850341	0.5	0.0227617
6.147	1.99245	1.93013	0.813033	0.500077	0.0845487	0.5	0.0227617
6.166	1.99932	1.93739	0.814726	0.500016	0.0854211	0.5	0.0227617
6.187	2.00651	1.94504	0.816522	0.499913	0.0857853	0.5	-0.089714
6.209	2.0137	1.9527	0.817892	0.500031	-0.000526526	0.5	-0.089714
6.228	2.02053	1.95999	0.817922	0.500021	0.0076684	0.5	-0.089714
6.25	2.02771	1.96766	0.818107	0.499954	0.0124235	0.5	-0.089714
6.27	2.03455	1.97496	0.818341	0.500008	0.00996247	0.5	-0.089714
